City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2015-09-24,47.39,,9.26,10.48,19.74,,9.26,7.72,7.71,0.0,3.41,0.21,241.0,Poor
Ahmedabad,2015-09-25,43.88,,8.69,19.75,28.44,,8.69,4.83,11.53,0.0,3.24,0.16,244.0,Poor
Ahmedabad,2015-09-26,28.35,,9.05,13.62,22.68,,9.05,7.47,15.95,0.0,3.26,0.21,243.0,Poor
Ahmedabad,2015-09-27,3.59,,11.26,14.17,25.44,,11.26,9.6,20.38,0.0,4.02,0.46,244.0,Poor
Ahmedabad,2015-09-28,3.04,,16.31,21.5,37.81,,16.31,13.73,30.05,0.02,9.33,0.81,327.0,Very Poor
Ahmedabad,2015-09-29,19.14,,10.33,30.6,40.93,,10.33,10.96,29.36,0.0,8.36,1.0,390.0,Very Poor
Ahmedabad,2015-09-30,69.12,,8.85,32.41,41.26,,8.85,15.63,28.45,0.0,7.16,0.73,231.0,Poor
Ahmedabad,2015-10-01,76.41,,17.96,34.7,52.67,,17.96,15.44,31.49,0.0,7.51,1.15,396.0,Very Poor
Ahmedabad,2015-10-02,102.49,,33.31,37.85,71.17,,33.31,27.32,24.85,19.81,51.29,15.05,731.0,Severe
Ahmedabad,2015-10-03,127.94,,11.14,28.38,39.52,,11.14,25.59,15.17,8.14,29.23,3.24,466.0,Severe
Ahmedabad,2015-10-04,87.18,,7.83,21.51,29.34,,7.83,6.98,23.17,5.59,17.26,2.28,230.0,Poor
Ahmedabad,2015-10-05,99.73,,20.16,30.23,50.39,,20.16,32.74,20.91,8.58,27.22,4.15,309.0,Very Poor
Ahmedabad,2015-10-06,84.15,,15.83,32.1,47.93,,15.83,19.37,23.12,8.34,23.83,4.0,519.0,Severe
Ahmedabad,2015-10-07,92.12,,18.21,32.5,50.71,,18.21,31.75,29.97,6.26,26.4,4.3,397.0,Very Poor
Ahmedabad,2015-10-08,94.02,,27.14,36.97,64.11,,27.14,24.88,23.51,10.85,41.2,6.14,517.0,Severe
Ahmedabad,2015-10-09,150.27,,15.9,34.86,50.77,,15.9,26.35,31.96,9.13,37.83,5.06,653.0,Severe
Ahmedabad,2015-10-10,118.91,,5.42,29.22,34.64,,5.42,79.47,24.89,6.23,12.93,1.74,355.0,Very Poor
Ahmedabad,2015-10-11,91.41,,5.19,23.45,28.63,,5.19,25.44,6.25,0.69,1.25,0.05,227.0,Poor
Ahmedabad,2015-10-12,95.9,,10.38,33.63,44.01,,10.38,30.06,27.34,3.24,11.06,1.76,316.0,Very Poor
Ahmedabad,2015-10-13,137.87,,20.2,32.98,53.18,,20.2,21.89,17.41,12.76,39.39,12.08,536.0,Severe
Ahmedabad,2015-10-14,90.71,,18.12,25.73,43.85,,18.12,17.89,26.02,7.32,43.71,6.04,370.0,Very Poor
Ahmedabad,2015-10-15,108.68,,17.03,32.87,49.9,,17.03,22.59,19.56,12.47,51.84,7.46,551.0,Severe
Ahmedabad,2015-10-16,98.79,,17.72,31.2,48.92,,17.72,26.09,30.19,8.22,41.58,5.48,393.0,Very Poor
Ahmedabad,2015-10-17,145.75,,20.61,34.71,55.33,,20.61,24.66,95.94,20.08,51.51,7.31,671.0,Severe
Ahmedabad,2015-10-18,179.43,,52.33,39.42,91.75,,52.33,39.15,112.01,31.75,102.65,14.97,969.0,Severe
Ahmedabad,2015-10-19,170.52,,15.49,35.22,48.6,,15.49,34.03,53.98,10.76,31.62,4.83,471.0,Severe
Ahmedabad,2015-10-20,203.4,,23.03,36.63,59.66,,23.03,94.3,5.36,0.0,0.0,0.0,529.0,Severe
Ahmedabad,2015-10-21,92.71,,12.92,30.65,43.57,,12.92,42.08,72.86,13.33,17.97,5.17,,
Ahmedabad,2015-10-22,64.66,,4.79,23.83,28.61,,4.79,34.4,24.76,6.24,12.04,2.24,213.0,Poor
Ahmedabad,2015-10-23,78.14,,10.58,28.93,39.51,,10.58,44.91,35.56,4.72,8.87,2.28,297.0,Poor
Ahmedabad,2015-10-24,100.17,,32.27,34.16,66.43,,32.27,27.73,23.95,7.62,12.85,5.15,605.0,Severe
Ahmedabad,2015-10-25,147.35,,34.64,39.1,73.74,,34.64,46.09,26.43,5.8,5.08,10.16,691.0,Severe
Ahmedabad,2015-10-26,206.89,,145.32,55.67,201.0,,145.32,20.47,38.0,1.69,3.45,36.0,971.0,Severe
Ahmedabad,2015-10-27,114.84,,38.09,40.31,78.39,,38.09,22.94,30.19,26.0,72.61,10.84,,
Ahmedabad,2015-10-28,89.64,,5.42,25.75,31.18,,5.42,44.92,43.04,6.48,17.42,2.14,270.0,Poor
Ahmedabad,2015-10-29,51.72,,1.89,21.15,23.04,,1.89,37.31,66.58,3.96,11.1,0.75,188.0,Moderate
Ahmedabad,2015-10-30,54.59,,2.31,18.33,20.64,,2.31,19.08,42.43,3.47,10.25,1.12,114.0,Moderate
Ahmedabad,2015-10-31,46.5,,1.22,12.1,13.32,,1.22,13.73,61.56,1.9,4.5,0.22,143.0,Moderate
Ahmedabad,2015-11-01,,,,,,,,,,,,,,
Ahmedabad,2015-11-02,122.54,,75.42,44.2,119.62,,75.42,13.78,60.66,73.38,105.07,17.55,,
Ahmedabad,2015-11-03,147.18,,33.06,36.87,69.93,,33.06,21.24,131.12,25.83,60.82,9.26,557.0,Severe
Ahmedabad,2015-11-04,214.67,,57.37,42.21,99.57,,57.37,22.18,,41.22,93.71,13.41,,
Ahmedabad,2015-11-05,207.13,,28.41,35.31,60.37,,28.41,50.33,,28.86,55.93,8.74,536.0,Severe
Ahmedabad,2015-11-06,191.01,,39.61,50.11,89.72,,39.61,40.78,27.9,17.39,60.02,11.13,354.0,Very Poor
Ahmedabad,2015-11-07,192.35,,9.39,29.04,38.43,,9.39,29.18,33.21,22.88,52.49,10.86,381.0,Very Poor
Ahmedabad,2015-11-08,127.64,,6.74,31.91,38.64,,6.74,26.94,47.33,9.55,20.72,4.32,355.0,Very Poor
Ahmedabad,2015-11-09,,,,,,,,,,,,,,
Ahmedabad,2015-11-10,,,,,,,,,,,,,,
Ahmedabad,2015-11-11,,,,,,,,,,,,,,
Ahmedabad,2015-11-12,,,,,,,,,,,,,,
Ahmedabad,2015-11-13,,,,,,,,,,,,,,
Ahmedabad,2015-11-14,,,,,,,,,,,,,,
Ahmedabad,2015-11-15,,,,,,,,,,,,,,
Ahmedabad,2015-11-16,,,,,,,,,,,,,,
Ahmedabad,2015-11-17,,,,,,,,,,,,,,
Ahmedabad,2015-11-18,,,,,,,,,,,,,,
Ahmedabad,2015-11-19,,,,,,,,,,,,,,
Ahmedabad,2015-11-20,,,,,,,,,,,,,,
Ahmedabad,2015-11-21,,,,,,,,,,,,,,
Ahmedabad,2015-11-22,,,,,,,,,,,,,,
Ahmedabad,2015-11-23,,,,,,,,,,,,,,
Ahmedabad,2015-11-24,,,,,,,,,,,,,,
Ahmedabad,2015-11-25,,,,,,,,,,,,,,
Ahmedabad,2015-11-26,,,,,,,,,,,,,,
Ahmedabad,2015-11-27,,,,,,,,,,,,,,
Ahmedabad,2015-11-28,,,,,,,,,,,,,,
Ahmedabad,2015-11-29,,,,,,,,,,,,,,
Ahmedabad,2015-11-30,,,,,,,,,,,,,,
Ahmedabad,2015-12-01,,,,,,,,,,,,,,
Ahmedabad,2015-12-02,,,,,,,,,,,,,,
Ahmedabad,2015-12-03,,,,,,,,,,,,,,
Ahmedabad,2015-12-04,,,,,,,,,,,,,,
Ahmedabad,2015-12-05,,,,,,,,,,,,,,
Ahmedabad,2015-12-06,,,,,,,,,,,,,,
Ahmedabad,2015-12-07,,,,,,,,,,,,,,
Ahmedabad,2015-12-08,,,,,,,,,,,,,,
Ahmedabad,2015-12-09,,,,,,,,,,,,,,
Ahmedabad,2015-12-10,,,,,,,,,,,,,,
Ahmedabad,2015-12-11,,,,,,,,,,,,,,
Ahmedabad,2015-12-12,,,,,,,,,,,,,,
Ahmedabad,2015-12-13,,,,,,,,,,,,,,
Ahmedabad,2015-12-14,,,,,,,,,,,,,,
Ahmedabad,2015-12-15,,,,,,,,,,,,,,
Ahmedabad,2015-12-16,,,,,,,,,,,,,,
Ahmedabad,2015-12-17,,,,,,,,,,,,,,
Ahmedabad,2015-12-18,,,,,,,,,,,,,,
Ahmedabad,2015-12-19,,,,,,,,,,,,,,
Ahmedabad,2015-12-20,,,,,,,,,,,,,,
Ahmedabad,2015-12-21,,,,,,,,,,,,,,
Ahmedabad,2015-12-22,,,,,,,,,,,,,,
Ahmedabad,2015-12-23,,,,,,,,,,,,,,
Ahmedabad,2015-12-24,,,,,,,,,,,,,,
Ahmedabad,2015-12-25,,,,,,,,,,,,,,
Ahmedabad,2015-12-26,,,,,,,,,,,,,,
Ahmedabad,2015-12-27,,,,,,,,,,,,,,
Ahmedabad,2015-12-28,,,,,,,,,,,,,,
Ahmedabad,2015-12-29,,,,,,,,,,,,,,
Ahmedabad,2015-12-30,,,,,,,,,,,,,,
Ahmedabad,2015-12-31,,,,,,,,,,,,,,
Ahmedabad,2016-01-01,,,,,,,,,,,,,,
Ahmedabad,2016-01-02,,,,,,,,,,,,,,
Ahmedabad,2016-01-03,,,,,,,,,,,,,,
Ahmedabad,2016-01-04,,,,,,,,,,,,,,
Ahmedabad,2016-01-05,,,,,,,,,,,,,,
Ahmedabad,2016-01-06,,,,,,,,,,,,,,
Ahmedabad,2016-01-07,,,,,,,,,,,,,,
Ahmedabad,2016-01-08,,,,,,,,,,,,,,
Ahmedabad,2016-01-09,,,,,,,,,,,,,,
Ahmedabad,2016-01-10,,,,,,,,,,,,,,
Ahmedabad,2016-01-11,,,,,,,,,,,,,,
Ahmedabad,2016-01-12,,,,,,,,,,,,,,
Ahmedabad,2016-01-13,,,,,,,,,,,,,,
Ahmedabad,2016-01-14,,,,,,,,,,,,,,
Ahmedabad,2016-01-15,,,,,,,,,,,,,,
Ahmedabad,2016-01-16,,,,,,,,,,,,,,
Ahmedabad,2016-01-17,,,,,,,,,,,,,,
Ahmedabad,2016-01-18,,,,,,,,,,,,,,
Ahmedabad,2016-01-19,,,,,,,,,,,,,,
Ahmedabad,2016-01-20,,,,,,,,,,,,,,
Ahmedabad,2016-01-21,,,,,,,,,,,,,,
Ahmedabad,2016-01-22,,,,,,,,,,,,,,
Ahmedabad,2016-01-23,,,,,,,,,,,,,,
Ahmedabad,2016-01-24,,,,,,,,,,,,,,
Ahmedabad,2016-01-25,,,,,,,,,,,,,,
Ahmedabad,2016-01-26,,,,,,,,,,,,,,
Ahmedabad,2016-01-27,,,,,,,,,,,,,,
Ahmedabad,2016-01-28,,,,,,,,,,,,,,
Ahmedabad,2016-01-29,,,,,,,,,,,,,,
Ahmedabad,2016-01-30,,,,,,,,,,,,,,
Ahmedabad,2016-01-31,,,,,,,,,,,,,,
Ahmedabad,2016-02-01,,,,,,,,,,,,,,
Ahmedabad,2016-02-02,,,,,,,,,,,,,,
Ahmedabad,2016-02-03,,,,,,,,,,,,,,
Ahmedabad,2016-02-04,,,,,,,,,,,,,,
Ahmedabad,2016-02-05,,,,,,,,,,,,,,
Ahmedabad,2016-02-06,,,,,,,,,,,,,,
Ahmedabad,2016-02-07,,,,,,,,,,,,,,
Ahmedabad,2016-02-08,,,,,,,,,,,,,,
Ahmedabad,2016-02-09,,,,,,,,,,,,,,
Ahmedabad,2016-02-10,,,,,,,,,,,,,,
Ahmedabad,2016-02-11,,,,,,,,,,,,,,
Ahmedabad,2016-02-12,,,,,,,,,,,,,,
Ahmedabad,2016-02-13,,,,,,,,,,,,,,
Ahmedabad,2016-02-14,,,,,,,,,,,,,,
Ahmedabad,2016-02-15,,,,,,,,,,,,,,
Ahmedabad,2016-02-16,,,,,,,,,,,,,,
Ahmedabad,2016-02-17,,,,,,,,,,,,,,
Ahmedabad,2016-02-18,,,,,,,,,,,,,,
Ahmedabad,2016-02-19,,,,,,,,,,,,,,
Ahmedabad,2016-02-20,,,,,,,,,,,,,,
Ahmedabad,2016-02-21,,,,,,,,,,,,,,
Ahmedabad,2016-02-22,,,,,,,,,,,,,,
Ahmedabad,2016-02-23,,,,,,,,,,,,,,
Ahmedabad,2016-02-24,,,,,,,,,,,,,,
Ahmedabad,2016-02-25,,,,,,,,,,,,,,
Ahmedabad,2016-02-26,,,,,,,,,,,,,,
Ahmedabad,2016-02-27,,,,,,,,,,,,,,
Ahmedabad,2016-02-28,,,,,,,,,,,,,,
Ahmedabad,2016-02-29,,,,,,,,,,,,,,
Ahmedabad,2016-03-01,,,,,,,,,,,,,,
Ahmedabad,2016-03-02,,,,,,,,,,,,,,
Ahmedabad,2016-03-03,,,,,,,,,,,,,,
Ahmedabad,2016-03-04,,,,,,,,,,,,,,
Ahmedabad,2016-03-05,,,,,,,,,,,,,,
Ahmedabad,2016-03-06,,,,,,,,,,,,,,
Ahmedabad,2016-03-07,,,,,,,,,,,,,,
Ahmedabad,2016-03-08,,,,,,,,,,,,,,
Ahmedabad,2016-03-09,,,,,,,,,,,,,,
Ahmedabad,2016-03-10,,,,,,,,,,,,,,
Ahmedabad,2016-03-11,,,,,,,,,,,,,,
Ahmedabad,2016-03-12,,,,,,,,,,,,,,
Ahmedabad,2016-03-13,,,,,,,,,,,,,,
Ahmedabad,2016-03-14,,,,,,,,,,,,,,
Ahmedabad,2016-03-15,,,,,,,,,,,,,,
Ahmedabad,2016-03-16,,,,,,,,,,,,,,
Ahmedabad,2016-03-17,,,,,,,,,,,,,,
Ahmedabad,2016-03-18,,,,,,,,,,,,,,
Ahmedabad,2016-03-19,,,,,,,,,,,,,,
Ahmedabad,2016-03-20,,,,,,,,,,,,,,
Ahmedabad,2016-03-21,,,,,,,,,,,,,,
Ahmedabad,2016-03-22,,,,,,,,,,,,,,
Ahmedabad,2016-03-23,,,,,,,,,,,,,,
Ahmedabad,2016-03-24,,,,,,,,,,,,,,
Ahmedabad,2016-03-25,,,,,,,,,,,,,,
Ahmedabad,2016-03-26,,,,,,,,,,,,,,
Ahmedabad,2016-03-27,,,,,,,,,,,,,,
Ahmedabad,2016-03-28,,,,,,,,,,,,,,
Ahmedabad,2016-03-29,,,,,,,,,,,,,,
Ahmedabad,2016-03-30,,,,,,,,,,,,,,
Ahmedabad,2016-03-31,,,,,,,,,,,,,,
Ahmedabad,2016-04-01,,,,,,,,,,,,,,
Ahmedabad,2016-04-02,,,,,,,,,,,,,,
Ahmedabad,2016-04-03,,,,,,,,,,,,,,
Ahmedabad,2016-04-04,,,,,,,,,,,,,,
Ahmedabad,2016-04-05,,,,,,,,,,,,,,
Ahmedabad,2016-04-06,,,,,,,,,,,,,,
Ahmedabad,2016-04-07,,,,,,,,,,,,,,
Ahmedabad,2016-04-08,,,,,,,,,,,,,,
Ahmedabad,2016-04-09,,,,,,,,,,,,,,
Ahmedabad,2016-04-10,,,,,,,,,,,,,,
Ahmedabad,2016-04-11,,,,,,,,,,,,,,
Ahmedabad,2016-04-12,,,,,,,,,,,,,,
Ahmedabad,2016-04-13,,,,,,,,,,,,,,
Ahmedabad,2016-04-14,,,,,,,,,,,,,,
Ahmedabad,2016-04-15,,,,,,,,,,,,,,
Ahmedabad,2016-04-16,,,,,,,,,,,,,,
Ahmedabad,2016-04-17,,,,,,,,,,,,,,
Ahmedabad,2016-04-18,,,,,,,,,,,,,,
Ahmedabad,2016-04-19,,,,,,,,,,,,,,
Ahmedabad,2016-04-20,,,,,,,,,,,,,,
Ahmedabad,2016-04-21,,,,,,,,,,,,,,
Ahmedabad,2016-04-22,,,,,,,,,,,,,,
Ahmedabad,2016-04-23,,,,,,,,,,,,,,
Ahmedabad,2016-04-24,,,,,,,,,,,,,,
Ahmedabad,2016-04-25,,,,,,,,,,,,,,
Ahmedabad,2016-04-26,,,,,,,,,,,,,,
Ahmedabad,2016-04-27,,,,,,,,,,,,,,
Ahmedabad,2016-04-28,,,,,,,,,,,,,,
Ahmedabad,2016-04-29,,,,,,,,,,,,,,
Ahmedabad,2016-04-30,,,,,,,,,,,,,,
Ahmedabad,2016-05-01,,,,,,,,,,,,,,
Ahmedabad,2016-05-02,,,,,,,,,,,,,,
Ahmedabad,2016-05-03,,,,,,,,,,,,,,
Ahmedabad,2016-05-04,,,,,,,,,,,,,,
Ahmedabad,2016-05-05,,,,,,,,,,,,,,
Ahmedabad,2016-05-06,,,,,,,,,,,,,,
Ahmedabad,2016-05-07,,,,,,,,,,,,,,
Ahmedabad,2016-05-08,,,,,,,,,,,,,,
Ahmedabad,2016-05-09,,,,,,,,,,,,,,
Ahmedabad,2016-05-10,,,,,,,,,,,,,,
Ahmedabad,2016-05-11,,,,,,,,,,,,,,
Ahmedabad,2016-05-12,,,,,,,,,,,,,,
Ahmedabad,2016-05-13,,,,,,,,,,,,,,
Ahmedabad,2016-05-14,,,,,,,,,,,,,,
Ahmedabad,2016-05-15,,,,,,,,,,,,,,
Ahmedabad,2016-05-16,,,,,,,,,,,,,,
